protein_id,protein_name,cellular_location,immunogenicity_score,base_score
ENSP00000003756,ENSG00000003756 protein,,0.15,0.0
ENSP00000003987,MTMR7 protein,cytoplasm,0.7899999999999999,0.69
ENSP00000003989,SLC7A2 protein,membrane,1.0,0.94
ENSP00000004059,ARF5 protein,membrane,1.0,0.89
ENSP00000004139,SARM1 protein,cytoplasm,0.64,0.54
ENSP00000004142,POLDIP2 protein,mitochondria,0.45999999999999996,0.31
ENSP00000004399,PLXND1 protein,membrane,0.85,0.75
ENSP00000004455,AK2 protein,mitochondria,0.43999999999999995,0.29
ENSP00000004468,CD38 protein,membrane,0.96,0.86
ENSP00000004478,FKBP4 protein,cytoplasm,0.84,0.69
ENSP00000004487,KDM1A protein,nucleus,0.63,0.48
ENSP00000004534,RBM6 protein,nucleus,0.62,0.47
ENSP00000004660,CAMKK1 protein,cytoplasm,0.75,0.65
ENSP00000004700,RECQL protein,nucleus,0.59,0.49
ENSP00000004766,VPS50 protein,membrane,1.0,0.86
ENSP00000004776,HSPB6 protein,nucleus,0.5,0.4
ENSP00000004777,ARHGAP33 protein,membrane,0.97,0.87
ENSP00000004779,NDUFAB1 protein,mitochondria,0.36,0.21
ENSP00000004799,PDK4 protein,mitochondria,0.44999999999999996,0.3
ENSP00000004809,SLC22A16 protein,membrane,0.8400000000000001,0.79
ENSP00000004838,ZMYND10 protein,cytoplasm,0.61,0.5599999999999999
ENSP00000004846,ABCB5 protein,membrane,0.89,0.84
ENSP00000004848,ARX protein,nucleus,0.55,0.5
ENSP00000004864,SLC25A13 protein,mitochondria,0.42000000000000004,0.27
ENSP00000004866,ST7 protein,membrane,1.0,0.91
ENSP00000004897,CDC27 protein,nucleus,0.6900000000000001,0.54
ENSP00000004939,SLC4A1 protein,membrane,0.9800000000000001,0.93
ENSP00000004948,CALCR protein,membrane,0.9800000000000001,0.93
ENSP00000004961,HCCS protein,mitochondria,0.42000000000000004,0.27
ENSP00000004975,DVL2 protein,cytoplasm,0.7799999999999999,0.6799999999999999
ENSP00000005001,PRSS22 protein,secreted,0.86,0.76
ENSP00000005007,UPF1 protein,cytoplasm,0.73,0.58
ENSP00000005020,SKAP2 protein,cytoplasm,0.82,0.6699999999999999
ENSP00000005022,SLC25A5 protein,mitochondria,0.47999999999999987,0.3299999999999999
ENSP00000005059,MCUB protein,mitochondria,0.3799999999999999,0.2799999999999999
ENSP00000005073,HOXA11 protein,nucleus,0.61,0.51
ENSP00000005075,POLR2J protein,nucleus,0.65,0.5
ENSP00000005100,DHX33 protein,nucleus,0.66,0.56
ENSP00000005102,MEOX1 protein,nucleus,0.52,0.42
ENSP00000005108,THSD7A protein,membrane,0.95,0.85
ENSP00000005156,LIG3 protein,nucleus,0.57,0.47
ENSP00000005175,RPAP3 protein,cytoplasm,0.75,0.6
ENSP00000005187,ACSM3 protein,mitochondria,0.47,0.37
ENSP00000005189,REXO5 protein,nucleus,0.51,0.41
ENSP00000005194,CIAPIN1 protein,cytoplasm,0.73,0.58
ENSP00000005206,SPPL2B protein,membrane,0.92,0.77
ENSP00000005238,ATOSB protein,nucleus,0.58,0.43
ENSP00000005243,COPZ2 protein,membrane,0.9199999999999999,0.82
ENSP00000005249,PRKAR2B protein,cytoplasm,0.75,0.65
ENSP00000005302,MSL3 protein,nucleus,0.5599999999999999,0.41
ENSP00000005339,CREBBP protein,nucleus,0.6,0.45
ENSP00000005379,TSPOAP1 protein,cytoplasm,0.7,0.6
ENSP00000005381,MPO protein,secreted,0.8,0.75
ENSP00000005421,PON1 protein,secreted,0.78,0.73
ENSP00000005436,GCFC2 protein,nucleus,0.6799999999999999,0.58
ENSP00000005448,WDR54 protein,membrane,0.94,0.84
ENSP00000005469,CROT protein,membrane,0.87,0.77
ENSP00000005471,ABCB4 protein,membrane,0.99,0.89
ENSP00000005483,KMT2E protein,nucleus,0.5599999999999999,0.41
ENSP00000005486,RHBDD2 protein,membrane,0.93,0.78
ENSP00000005513,SOX8 protein,nucleus,0.69,0.59
ENSP00000005700,IBTK protein,nucleus,0.62,0.47
ENSP00000005801,ZNF195 protein,nucleus,0.66,0.51
ENSP00000005810,MYCBP2 protein,cytoplasm,0.79,0.64
ENSP00000005812,FBXL3 protein,nucleus,0.67,0.52
ENSP00000005844,ITGAL protein,membrane,0.9099999999999999,0.8099999999999999
ENSP00000005882,PDK2 protein,mitochondria,0.44999999999999996,0.35
ENSP00000005884,ITGA3 protein,membrane,1.0,0.9
ENSP00000005889,ZFX protein,nucleus,0.63,0.53
ENSP00000005893,LAMP2 protein,membrane,0.9,0.75
ENSP00000005961,ITGA2B protein,membrane,0.9600000000000001,0.91
ENSP00000005981,ASB4 protein,cytoplasm,0.62,0.57
ENSP00000006007,GDE1 protein,membrane,0.98,0.83
ENSP00000006015,ENSG00000006015 protein,,0.1,0.0
ENSP00000006016,CRLF1 protein,secreted,0.8200000000000001,0.77
ENSP00000006025,OSBPL7 protein,membrane,0.8999999999999999,0.7999999999999999
ENSP00000006042,TMEM98 protein,membrane,1.0,0.94
ENSP00000006047,YBX2 protein,nucleus,0.61,0.51
ENSP00000006059,KRT33A protein,cytoplasm,0.71,0.6799999999999999
ENSP00000006062,MAP3K14 protein,cytoplasm,0.6,0.5
ENSP00000006071,ABCC8 protein,membrane,0.88,0.83
ENSP00000006116,CACNG3 protein,membrane,0.9,0.87
ENSP00000006118,TMEM132A protein,membrane,0.98,0.88
ENSP00000006125,AP2B1 protein,membrane,0.96,0.8099999999999999
ENSP00000006128,TAC1 protein,secreted,0.7999999999999999,0.7
ENSP00000006194,ZNF263 protein,nucleus,0.64,0.49
ENSP00000006210,CX3CL1 protein,secreted,0.8799999999999999,0.7799999999999999
ENSP00000006282,SPATA20 protein,secreted,0.94,0.7899999999999999
ENSP00000006283,CACNA1G protein,membrane,0.8300000000000001,0.78
ENSP00000006327,TNFRSF12A protein,membrane,1.0,0.88
ENSP00000006377,DLX6 protein,nucleus,0.53,0.48
ENSP00000006432,MAP3K9 protein,,0.1,0.0
ENSP00000006451,RALA protein,membrane,1.0,0.87
ENSP00000006453,BAIAP2L1 protein,cytoplasm,0.6900000000000001,0.54
ENSP00000006459,KDM7A protein,nucleus,0.65,0.5
ENSP00000006468,ETV1 protein,nucleus,0.51,0.41
ENSP00000006530,AGK protein,mitochondria,0.43999999999999995,0.3399999999999999
ENSP00000006534,ALDH3B1 protein,membrane,1.0,0.91
ENSP00000006555,ENSG00000006555 protein,,0.15,0.0
ENSP00000006576,PHTF2 protein,membrane,0.88,0.78
ENSP00000006606,CCL26 protein,secreted,0.79,0.74
ENSP00000006607,FARP2 protein,cytoplasm,0.82,0.6699999999999999
ENSP00000006611,USH1C protein,cytoplasm,0.67,0.52
ENSP00000006625,GGCT protein,cytoplasm,0.67,0.52
ENSP00000006634,DBF4 protein,nucleus,0.58,0.48
ENSP00000006638,ENSG00000006638 protein,,0.05,0.0
ENSP00000006652,IFRD1 protein,nucleus,0.66,0.56
ENSP00000006659,LGALS14 protein,nucleus,0.5900000000000001,0.54
ENSP00000006695,COX10 protein,mitochondria,0.39,0.29
ENSP00000006704,GTF2IRD1 protein,nucleus,0.53,0.43
ENSP00000006712,PAF1 protein,nucleus,0.73,0.58
ENSP00000006715,VPS41 protein,membrane,1.0,0.93
ENSP00000006740,ARHGAP44 protein,membrane,1.0,0.94
ENSP00000006744,ELAC2 protein,mitochondria,0.52,0.37
ENSP00000006747,SCIN protein,cytoplasm,0.67,0.52
ENSP00000006756,ARSD protein,membrane,0.93,0.78
ENSP00000006757,PNPLA4 protein,mitochondria,0.45999999999999996,0.36
ENSP00000006788,MYH13 protein,cytoplasm,0.67,0.62
ENSP00000006831,ADIPOR2 protein,membrane,1.0,0.85
ENSP00000006837,CDKL3 protein,nucleus,0.6000000000000001,0.55
ENSP00000007001,UPP2 protein,cytoplasm,0.6,0.5499999999999999
ENSP00000007038,PRSS21 protein,membrane,0.81,0.76
ENSP00000007047,MARK4 protein,cytoplasm,0.72,0.62
ENSP00000007062,PROM1 protein,membrane,1.0,0.88
ENSP00000007080,CCDC124 protein,cytoplasm,0.71,0.5599999999999999
ENSP00000007129,CEACAM21 protein,membrane,1.0,0.9
ENSP00000007168,PAFAH1B1 protein,cytoplasm,0.71,0.5599999999999999
ENSP00000007171,NOS2 protein,cytoplasm,0.66,0.51
ENSP00000007174,DNAH9 protein,cytoplasm,0.72,0.6699999999999999
ENSP00000007202,BLTP2 protein,membrane,1.0,0.85
ENSP00000007216,SLC13A2 protein,membrane,0.9199999999999999,0.82
ENSP00000007237,GAS7 protein,cytoplasm,0.69,0.59
ENSP00000007255,TRAPPC6A protein,membrane,0.86,0.76
ENSP00000007264,MATK protein,cytoplasm,0.75,0.65
ENSP00000007306,CEACAM7 protein,membrane,1.0,0.79
ENSP00000007312,CD79B protein,membrane,0.98,0.88
ENSP00000007314,SCN4A protein,membrane,0.85,0.7999999999999999
ENSP00000007341,ST7L protein,membrane,0.96,0.86
ENSP00000007350,TKTL1 protein,cytoplasm,0.5900000000000001,0.54
ENSP00000007372,PAX6 protein,nucleus,0.5,0.45
ENSP00000007376,RPUSD1 protein,,0.1,0.0
ENSP00000007384,RHBDF1 protein,membrane,1.0,0.92
ENSP00000007392,LUC7L protein,nucleus,0.7100000000000001,0.56
ENSP00000007402,CACNA2D2 protein,membrane,1.0,0.91
ENSP00000007516,BAIAP3 protein,membrane,0.8999999999999999,0.7999999999999999
ENSP00000007520,TSR3 protein,cytoplasm,0.74,0.64
ENSP00000007541,PIGQ protein,membrane,0.8999999999999999,0.7999999999999999
ENSP00000007545,CRAMP1 protein,nucleus,0.52,0.42
ENSP00000007866,TEAD3 protein,nucleus,0.65,0.5
ENSP00000007908,SELE protein,membrane,0.9199999999999999,0.82
ENSP00000007923,DNAJC11 protein,mitochondria,0.52,0.37
ENSP00000007933,FMO3 protein,membrane,0.96,0.86
ENSP00000007944,MYLIP protein,cytoplasm,0.7899999999999999,0.69
ENSP00000007952,NOX1 protein,membrane,0.98,0.83
ENSP00000007968,E2F2 protein,nucleus,0.57,0.47
ENSP00000008018,PSMB1 protein,nucleus,0.74,0.59
ENSP00000008056,SYN1 protein,membrane,0.9,0.85
ENSP00000008083,JARID2 protein,nucleus,0.66,0.56
ENSP00000008086,CDKL5 protein,nucleus,0.62,0.52
ENSP00000008118,CAMK1G protein,membrane,0.92,0.87
ENSP00000008128,CDK11A protein,nucleus,0.5,0.4
ENSP00000008130,NADK protein,cytoplasm,0.83,0.6799999999999999
ENSP00000008196,TFAP2B protein,nucleus,0.5700000000000001,0.5700000000000001
ENSP00000008197,TFAP2D protein,nucleus,0.5,0.47
ENSP00000008226,DLEC1 protein,cytoplasm,0.6799999999999999,0.58
ENSP00000008256,CYTH3 protein,cytoplasm,0.6,0.5
ENSP00000008277,ADAM22 protein,membrane,0.96,0.86
ENSP00000008282,SYPL1 protein,membrane,1.0,0.87
ENSP00000008283,CYB561 protein,membrane,1.0,0.94
ENSP00000008294,SPAG9 protein,membrane,1.0,0.88
ENSP00000008300,CELSR3 protein,membrane,1.0,0.94
ENSP00000008311,AASS protein,mitochondria,0.31,0.21
ENSP00000008323,PLEKHG6 protein,cytoplasm,0.82,0.6699999999999999
ENSP00000008324,ENSG00000008324 protein,,0.1,0.0
ENSP00000008382,MPND protein,,0.1,0.0
ENSP00000008394,MGST1 protein,membrane,1.0,0.87
ENSP00000008405,CRY1 protein,nucleus,0.6799999999999999,0.58
ENSP00000008438,PGLYRP1 protein,secreted,0.74,0.69
ENSP00000008441,NFIX protein,nucleus,0.6,0.45
ENSP00000008513,ST3GAL1 protein,membrane,0.85,0.75
ENSP00000008516,MMP25 protein,membrane,0.94,0.84
ENSP00000008517,IL32 protein,secreted,0.83,0.6799999999999999
ENSP00000008710,PKD1 protein,membrane,1.0,0.93
ENSP00000008735,MAPK8IP2 protein,cytoplasm,0.6699999999999999,0.57
ENSP00000008838,MED24 protein,nucleus,0.57,0.42
ENSP00000008853,RHOBTB2 protein,membrane,0.9099999999999999,0.8099999999999999
ENSP00000008869,HEATR5B protein,membrane,1.0,0.86
ENSP00000008952,SEC62 protein,membrane,1.0,0.92
ENSP00000008988,RPS20 protein,cytoplasm,0.75,0.6
ENSP00000009307,CSDE1 protein,cytoplasm,0.8099999999999999,0.6599999999999999
ENSP00000009335,UBE3C protein,,0.15,0.0
ENSP00000009413,REV3L protein,nucleus,0.56,0.46
ENSP00000009694,TENM1 protein,membrane,0.91,0.86
ENSP00000009709,PAX7 protein,nucleus,0.59,0.59
ENSP00000009724,MASP2 protein,secreted,0.66,0.61
ENSP00000009765,IYD protein,membrane,1.0,0.94
ENSP00000009780,FAM76A protein,nucleus,0.52,0.42
ENSP00000009790,TRAF3IP3 protein,membrane,0.89,0.79
ENSP00000009830,POMT2 protein,membrane,0.87,0.77
ENSP00000009844,VTA1 protein,membrane,0.9400000000000001,0.79
ENSP00000009950,MLXIPL protein,nucleus,0.58,0.48
ENSP00000009954,BAZ1B protein,nucleus,0.7000000000000001,0.55
ENSP00000010017,RANBP9 protein,cytoplasm,0.72,0.57
ENSP00000010030,ETV7 protein,nucleus,0.65,0.55
ENSP00000010072,SPRTN protein,nucleus,0.57,0.47
ENSP00000010165,METTL13 protein,cytoplasm,0.8999999999999999,0.5499999999999999
ENSP00000010219,DYRK4 protein,cytoplasm,0.6,0.5
ENSP00000010244,ZNF207 protein,nucleus,0.61,0.46
ENSP00000010256,UQCRC1 protein,mitochondria,0.42000000000000004,0.27
ENSP00000010270,STARD3NL protein,membrane,0.9400000000000001,0.79
ENSP00000010278,CD9 protein,membrane,0.99,0.84
ENSP00000010282,HHATL protein,membrane,0.87,0.82
ENSP00000010292,NCAPD2 protein,nucleus,0.7100000000000001,0.56
ENSP00000010295,IFFO1 protein,nucleus,0.51,0.41
ENSP00000010310,GIPR protein,membrane,0.95,0.85
ENSP00000010318,PHF7 protein,nucleus,0.57,0.47
ENSP00000010319,SEMA3G protein,secreted,0.7499999999999999,0.6499999999999999
ENSP00000010322,NISCH protein,membrane,0.98,0.83
ENSP00000010327,STAB1 protein,membrane,1.0,0.88
ENSP00000010361,FUZ protein,cytoplasm,0.64,0.54
ENSP00000010379,SLC6A13 protein,membrane,0.86,0.8099999999999999
ENSP00000010404,IDS protein,membrane,1.0,0.9
ENSP00000010438,PRSS3 protein,secreted,0.91,0.76
ENSP00000010539,ENSG00000010539 protein,,0.1,0.0
ENSP00000010610,CD4 protein,membrane,0.85,0.75
ENSP00000010626,LRRC23 protein,cytoplasm,0.7899999999999999,0.69
ENSP00000010671,BTK protein,cytoplasm,0.7899999999999999,0.69
ENSP00000010704,HFE protein,membrane,1.0,0.94
ENSP00000010803,SCMH1 protein,nucleus,0.6799999999999999,0.58
ENSP00000010810,FYN protein,membrane,0.89,0.79
ENSP00000010818,HIVEP2 protein,nucleus,0.5,0.4
ENSP00000010932,FMO1 protein,membrane,0.99,0.94
ENSP00000011007,ELOA protein,nucleus,0.67,0.52
ENSP00000011009,LYPLA2 protein,cytoplasm,0.6900000000000001,0.54
ENSP00000011021,CLCN6 protein,membrane,1.0,0.9
ENSP00000011028,MRC2 protein,membrane,1.0,0.91
ENSP00000011052,NME1-NME2 protein,cytoplasm,0.5700000000000001,0.54
ENSP00000011083,SLC6A7 protein,membrane,0.85,0.75
ENSP00000011105,TSPAN9 protein,membrane,0.96,0.86
ENSP00000011114,BTBD7 protein,nucleus,0.66,0.51
ENSP00000011132,APBA3 protein,cytoplasm,0.62,0.52
ENSP00000011143,MKS1 protein,cytoplasm,0.7699999999999999,0.6699999999999999
ENSP00000011198,ABHD5 protein,cytoplasm,0.7,0.5499999999999999
ENSP00000011201,ANOS1 protein,secreted,0.7799999999999999,0.6799999999999999
ENSP00000011243,AKAP8L protein,nucleus,0.57,0.47
ENSP00000011258,MBTD1 protein,nucleus,0.6799999999999999,0.58
ENSP00000011260,UTP18 protein,nucleus,0.59,0.44
ENSP00000011275,RNF216 protein,cytoplasm,0.6699999999999999,0.57
ENSP00000011295,TTC19 protein,mitochondria,0.34999999999999987,0.1999999999999999
ENSP00000011304,PTBP1 protein,nucleus,0.61,0.46
ENSP00000011332,DPF1 protein,nucleus,0.45999999999999996,0.41
ENSP00000011347,SYT7 protein,membrane,0.9400000000000001,0.79
ENSP00000011376,LARS2 protein,mitochondria,0.34999999999999987,0.1999999999999999
ENSP00000011405,PIK3C2A protein,membrane,0.95,0.7999999999999999
ENSP00000011422,PLAUR protein,membrane,1.0,0.87
ENSP00000011426,ANLN protein,cytoplasm,0.84,0.69
ENSP00000011451,WIZ protein,nucleus,0.62,0.52
ENSP00000011454,RABGAP1 protein,cytoplasm,0.84,0.69
ENSP00000011465,DCN protein,secreted,0.94,0.7899999999999999
ENSP00000011478,QPCTL protein,membrane,1.0,0.94
ENSP00000011485,PPP5C protein,cytoplasm,0.84,0.69
ENSP00000011523,CEP68 protein,cytoplasm,0.62,0.52
ENSP00000011566,MAP4K3 protein,cytoplasm,0.68,0.53
ENSP00000011590,ZBTB32 protein,nucleus,0.45999999999999996,0.41
ENSP00000011600,TYROBP protein,membrane,1.0,0.87
ENSP00000011638,LDAF1 protein,membrane,0.89,0.79
ENSP00000011677,GABRA3 protein,membrane,0.86,0.8099999999999999
ENSP00000012048,BRCA1 protein,nucleus,0.57,0.47
ENSP00000012061,ERCC1 protein,nucleus,0.53,0.43
ENSP00000012124,CD22 protein,membrane,1.0,0.94
ENSP00000012171,SEMA3B protein,membrane,0.92,0.77
ENSP00000012174,MBTPS2 protein,membrane,0.94,0.84
ENSP00000012211,PRICKLE3 protein,mitochondria,0.31,0.21
ENSP00000012223,LTF protein,secreted,0.8799999999999999,0.7799999999999999
ENSP00000012232,EXTL3 protein,membrane,0.9199999999999999,0.82
ENSP00000012504,NR1H4 protein,nucleus,0.5,0.4
ENSP00000012660,ELOVL5 protein,membrane,1.0,0.91
ENSP00000012779,ALOX5 protein,nucleus,0.57,0.47
ENSP00000012817,KDM5D protein,nucleus,0.54,0.44
ENSP00000012822,CALCOCO1 protein,nucleus,0.64,0.49
ENSP00000012963,ENSG00000012963 protein,,0.15,0.0
ENSP00000012983,MAP4K5 protein,cytoplasm,0.68,0.53
ENSP00000013016,EHD3 protein,membrane,0.88,0.78
ENSP00000013275,PSMC4 protein,nucleus,0.57,0.42
ENSP00000013288,MAN2B2 protein,secreted,0.83,0.6799999999999999
ENSP00000013293,SLC7A14 protein,membrane,0.93,0.88
ENSP00000013297,CLDN11 protein,membrane,1.0,0.93
ENSP00000013306,SLC25A39 protein,mitochondria,0.52,0.37
ENSP00000013364,MVP protein,cytoplasm,0.8099999999999999,0.6599999999999999
ENSP00000013374,NUB1 protein,nucleus,0.64,0.49
ENSP00000013375,PGM3 protein,cytoplasm,0.79,0.64
ENSP00000013392,ENSG00000013392 protein,,0.1,0.0
ENSP00000013441,CLK1 protein,nucleus,0.74,0.59
ENSP00000013503,POLR3B protein,cytoplasm,0.63,0.53
ENSP00000013523,ANGEL1 protein,membrane,0.86,0.76
ENSP00000013561,RNF14 protein,cytoplasm,0.83,0.6799999999999999
ENSP00000013563,DNASE1L1 protein,membrane,0.9099999999999999,0.8099999999999999
ENSP00000013573,DDX11 protein,nucleus,0.52,0.42
ENSP00000013583,HEBP1 protein,cytoplasm,0.64,0.54
ENSP00000013588,GPRC5A protein,membrane,0.99,0.84
ENSP00000013619,MAMLD1 protein,nucleus,0.5,0.4
ENSP00000013725,CD6 protein,membrane,0.86,0.76
ENSP00000013810,TACC3 protein,cytoplasm,0.78,0.63
ENSP00000014123,UFL1 protein,membrane,0.92,0.77
ENSP00000014138,POLA2 protein,nucleus,0.54,0.44
ENSP00000014164,ZC3H3 protein,nucleus,0.61,0.51
ENSP00000014216,CAPN1 protein,membrane,0.98,0.83
ENSP00000014257,ACP3 protein,membrane,0.9199999999999999,0.82
ENSP00000014641,MDH1 protein,cytoplasm,0.72,0.57
ENSP00000014824,SLC30A9 protein,membrane,0.9400000000000001,0.79
ENSP00000014914,MTMR11 protein,cytoplasm,0.75,0.6
ENSP00000014919,COX15 protein,mitochondria,0.45999999999999996,0.31
ENSP00000015133,CCDC88C protein,cytoplasm,0.6900000000000001,0.54
ENSP00000015153,YAF2 protein,nucleus,0.65,0.55
ENSP00000015171,ZMYND11 protein,nucleus,0.6900000000000001,0.54
ENSP00000015285,WAS protein,cytoplasm,0.61,0.51
ENSP00000015413,DPEP1 protein,membrane,1.0,0.85
ENSP00000015475,BID protein,mitochondria,0.4899999999999999,0.3399999999999999
ENSP00000015479,MATR3 protein,nucleus,0.63,0.53
ENSP00000015520,NPC1L1 protein,membrane,0.85,0.75
ENSP00000015532,XYLT2 protein,membrane,0.8999999999999999,0.7999999999999999
ENSP00000015568,RGPD5 protein,cytoplasm,0.58,0.58
ENSP00000015592,STMN4 protein,membrane,0.89,0.84
ENSP00000015676,NUDCD3 protein,cytoplasm,0.68,0.53
ENSP00000016082,ISL1 protein,nucleus,0.49,0.44
ENSP00000016391,CHDH protein,mitochondria,0.53,0.38
ENSP00000016402,IL20RA protein,membrane,0.87,0.77
ENSP00000016490,CLCA1 protein,membrane,1.0,0.91
ENSP00000016602,CLCA4 protein,membrane,1.0,0.92
ENSP00000016864,GLT8D1 protein,membrane,0.97,0.82
ENSP00000017260,ATP2C1 protein,membrane,0.95,0.7999999999999999
ENSP00000017427,IGF1 protein,secreted,0.8999999999999999,0.7
ENSP00000017483,SLC38A5 protein,membrane,0.97,0.87
ENSP00000017797,RALBP1 protein,nucleus,0.7100000000000001,0.56
ENSP00000018189,RUFY3 protein,cytoplasm,0.7599999999999999,0.6599999999999999
ENSP00000018236,CNTN1 protein,membrane,0.9299999999999999,0.83
ENSP00000018280,SLC11A1 protein,membrane,1.0,0.93
ENSP00000018408,WWTR1 protein,nucleus,0.62,0.52
ENSP00000018510,AGPS protein,membrane,0.91,0.76
ENSP00000018607,ENSG00000018607 protein,,0.0,0.0
ENSP00000018610,STEEP1 protein,membrane,1.0,0.94
ENSP00000018625,ATP1A2 protein,membrane,0.94,0.84
ENSP00000018699,TTC27 protein,,0.1,0.0
ENSP00000018869,ZNF582 protein,nucleus,0.5800000000000001,0.53
ENSP00000019102,VSIG2 protein,membrane,0.9400000000000001,0.79
ENSP00000019144,PHLDB1 protein,membrane,0.9,0.75
ENSP00000019169,MARCO protein,membrane,0.85,0.75
ENSP00000019186,CYP24A1 protein,mitochondria,0.3799999999999999,0.3299999999999999
ENSP00000019485,PRDM11 protein,nucleus,0.52,0.42
ENSP00000019505,SYT13 protein,membrane,1.0,0.94
ENSP00000019549,SNAI2 protein,nucleus,0.53,0.43
ENSP00000019582,CD74 protein,membrane,0.95,0.7999999999999999
ENSP00000019991,HGF protein,secreted,0.86,0.76
ENSP00000019995,ZRANB1 protein,cytoplasm,0.7799999999999999,0.6799999999999999
ENSP00000020129,NCDN protein,membrane,0.88,0.78
ENSP00000020181,ADGRA2 protein,membrane,0.87,0.77
ENSP00000020219,ENSG00000020219 protein,,0.0,0.0
ENSP00000020256,ZFP64 protein,nucleus,0.58,0.48
ENSP00000020426,MNAT1 protein,nucleus,0.57,0.47
ENSP00000020577,SAMD4A protein,cytoplasm,0.6699999999999999,0.57
ENSP00000020633,RUNX3 protein,nucleus,0.67,0.5700000000000001
ENSP00000020922,MRE11 protein,nucleus,0.68,0.53
ENSP00000021300,PLEKHB1 protein,membrane,0.87,0.77
ENSP00000021355,SERPINB1 protein,secreted,0.85,0.7
ENSP00000021461,CYP3A43 protein,membrane,0.85,0.7999999999999999
ENSP00000021488,SLC7A9 protein,membrane,0.93,0.88
ENSP00000021574,SPAST protein,cytoplasm,0.83,0.6799999999999999
ENSP00000021645,NRXN3 protein,membrane,1.0,0.93
ENSP00000021762,OSBPL5 protein,membrane,0.96,0.86
ENSP00000021776,AQR protein,nucleus,0.67,0.52
ENSP00000021826,CPS1 protein,mitochondria,0.4,0.3
ENSP00000021852,C8B protein,membrane,0.9,0.9
ENSP00000022267,FHL1 protein,cytoplasm,0.76,0.61
ENSP00000022277,RTF2 protein,nucleus,0.59,0.44
ENSP00000022355,GABRA1 protein,membrane,0.8099999999999999,0.8099999999999999
ENSP00000022556,NLRP2 protein,cytoplasm,0.7899999999999999,0.59
ENSP00000022567,SLC45A4 protein,membrane,0.94,0.84
ENSP00000022840,RNF10 protein,cytoplasm,0.6900000000000001,0.54
ENSP00000022976,ENSG00000022976 protein,,0.1,0.0
ENSP00000023041,ZDHHC6 protein,membrane,0.97,0.82
ENSP00000023171,GRAMD1B protein,membrane,0.9099999999999999,0.8099999999999999
ENSP00000023191,RNH1 protein,cytoplasm,0.84,0.69
ENSP00000023228,NDUFS1 protein,mitochondria,0.36,0.21
ENSP00000023287,RB1CC1 protein,membrane,0.99,0.84
ENSP00000023318,ERP44 protein,membrane,1.0,0.9
ENSP00000023330,ALAS1 protein,mitochondria,0.42000000000000004,0.27
ENSP00000023445,BIRC3 protein,cytoplasm,0.66,0.51
ENSP00000023516,AKAP11 protein,cytoplasm,0.65,0.5
